"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
13,15,10,5,5,6,0,1,0,9,6,4,0,2,3,12,16,7,21,0,0,0,0,0,0,17,0,0,0,0,17,8,0,19,9,13,7,0,0,0,0,20,0,0,0,0,0,11,14,18,21,9,0,0,0,0,0,0,0,0,0
11,13,7,5,4,0,0,1,0,9,3,2,7,0,5,10,15,6,17,0,0,0,0,0,0,0,0,0,0,0,18,20,17,19,14,12,8,0,0,0,0,19,0,0,0,0,0,12,16,18,13,11,0,0,0,0,0,0,0,0,0
13,13,12,4,4,0,0,1,0,14,6,3,7,2,5,10,16,9,21,0,0,0,0,13,0,0,0,0,0,0,19,0,17,18,11,14,15,0,0,0,0,21,0,0,0,0,0,8,18,16,14,20,0,0,0,0,0,0,0,0,0
12,11,10,6,6,0,0,1,0,9,5,3,9,2,4,10,14,8,18,0,0,0,0,7,0,0,0,0,0,0,16,0,15,17,9,15,9,0,0,0,0,18,0,0,0,0,0,9,13,16,19,14,0,0,0,0,0,0,0,0,0
11,10,9,4,3,0,0,1,0,8,4,2,7,2,6,8,12,5,16,0,0,0,0,11,0,0,0,0,0,0,15,0,13,14,7,10,7,0,0,0,0,18,0,0,0,0,0,8,10,12,17,7,0,0,0,0,0,0,0,0,0
10,13,12,6,5,0,0,1,0,9,4,3,8,2,5,9,15,7,22,0,0,0,0,0,0,0,21,0,0,0,16,0,18,19,17,11,9,0,0,0,0,22,0,0,14,0,0,13,16,20,11,17,0,0,0,0,0,0,0,0,0
11,13,10,6,5,0,0,1,0,9,3,4,7,2,5,11,12,3,14,0,0,0,0,0,0,0,16,16,0,0,16,19,16,15,16,13,8,0,0,0,0,18,0,0,0,0,0,13,12,17,17,19,0,0,0,0,0,0,0,0,0
13,15,9,5,5,0,0,1,0,14,4,2,8,3,6,11,17,7,22,0,0,0,0,21,0,0,0,22,0,0,21,0,19,20,14,10,9,0,23,0,0,22,0,0,20,0,0,12,18,19,12,16,0,0,0,0,0,0,0,0,0
12,11,9,5,5,0,0,1,0,9,3,3,6,2,4,6,13,5,21,0,0,0,0,0,0,0,0,20,0,0,19,15,16,17,9,10,8,0,20,0,0,21,0,0,18,0,0,7,13,14,19,9,0,0,0,0,0,0,0,0,0
13,18,11,6,5,0,0,1,0,9,4,3,10,2,5,12,17,7,21,0,0,0,0,8,0,0,0,24,0,0,22,0,20,19,11,17,8,0,25,0,0,23,0,0,15,0,0,12,16,22,24,14,0,0,0,0,0,0,0,0,0
7,9,10,4,5,0,0,1,0,8,4,2,9,2,3,10,13,6,18,0,0,0,0,6,0,0,19,19,0,0,16,0,17,15,6,7,6,0,19,19,0,19,0,0,0,0,0,11,12,14,10,7,0,0,0,0,0,0,0,0,0
14,14,10,5,4,0,0,1,0,10,5,2,9,3,6,7,14,8,19,0,0,0,0,10,0,0,0,0,0,0,17,0,15,16,14,14,11,0,15,17,0,19,0,0,14,19,0,13,13,18,14,12,0,0,0,0,0,0,0,0,0
18,20,13,6,5,0,0,1,0,12,7,2,10,3,4,9,17,8,19,0,0,0,0,0,0,0,23,24,0,0,23,0,23,22,0,15,10,0,22,22,0,24,0,0,16,0,18,10,14,11,21,19,0,0,0,0,0,0,0,0,0
12,13,10,7,6,0,0,1,0,11,4,2,9,3,5,10,13,8,14,0,0,0,0,13,0,0,21,21,0,0,18,0,19,17,0,11,9,0,19,16,0,20,0,0,0,0,15,10,12,11,16,8,0,0,0,0,0,0,0,0,0
13,16,11,5,6,0,0,1,0,9,4,2,9,3,3,10,14,7,15,0,0,0,0,14,0,0,0,0,0,0,20,0,17,18,0,17,8,0,22,21,0,21,0,0,17,19,13,8,15,12,16,7,0,0,0,0,0,0,0,0,0
14,15,12,6,4,0,0,1,0,9,5,2,9,3,3,10,14,7,16,0,0,0,0,0,0,0,17,18,0,0,18,0,18,16,0,14,6,0,17,18,0,18,0,0,11,0,13,11,11,15,15,8,0,0,0,0,0,0,0,0,0
16,18,15,7,5,0,0,1,0,12,6,2,10,3,4,13,18,9,21,0,19,0,0,12,0,0,26,25,0,0,22,0,20,23,0,17,8,0,26,25,0,24,0,0,0,0,14,11,14,10,17,8,0,0,0,0,0,0,0,0,0
0,18,10,6,4,0,0,2,0,9,5,1,11,3,5,7,16,7,12,0,19,0,0,0,0,0,19,20,0,0,20,0,18,19,0,13,11,0,19,19,0,20,0,0,14,0,17,8,15,11,20,9,0,0,0,0,0,0,0,0,0
0,12,12,6,5,0,0,1,0,11,3,2,9,4,6,9,16,8,13,0,18,0,0,0,0,0,23,0,0,0,20,0,18,19,0,8,12,0,18,21,0,22,0,18,19,23,17,10,14,15,18,7,0,0,0,0,0,0,0,0,0
0,12,12,5,5,0,0,1,0,11,4,2,7,3,6,10,15,9,9,0,18,0,0,15,0,0,22,22,0,0,19,0,17,16,0,12,10,0,19,21,0,21,0,20,0,0,15,8,14,13,19,7,0,0,0,0,0,0,0,0,0
0,14,12,6,6,0,0,1,0,9,4,2,10,3,5,9,14,6,7,0,22,0,0,15,0,0,21,21,0,0,19,0,18,17,0,13,11,0,20,18,0,20,0,16,0,0,14,11,16,15,17,8,0,0,0,0,0,0,0,0,0
13,14,0,7,4,0,0,1,0,12,6,2,11,3,5,9,15,10,18,0,22,0,0,14,0,0,0,0,0,0,24,0,18,23,0,20,16,0,28,25,0,26,0,27,19,26,12,11,17,0,21,8,20,0,0,0,0,0,0,0,0
