"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
6,0,0,1,0,0,1,3,0,5,0,1,0,0,2,15,10,0,11,0,14,16,0,0,0,5,0,0,4,0,0,0,0,8,0,0,0,0,0,15,10,13,13,5,0,13,0,0,11,13,7,4,0,0,9,0,0,0,0,8,15,12,0,0,0,0,0,0,0,0,0
12,0,0,2,0,0,0,4,0,5,0,1,4,0,3,5,11,0,8,10,13,5,0,9,7,7,0,0,6,0,0,0,0,9,0,0,0,0,10,5,11,13,13,7,0,10,0,0,13,12,10,0,0,0,0,0,0,0,0,12,9,8,0,0,0,0,0,0,0,0,0
9,0,0,2,0,0,0,3,0,5,0,1,4,0,4,15,11,0,12,14,13,17,0,0,5,8,0,0,11,0,0,0,0,16,0,0,0,0,15,7,6,16,15,9,0,16,0,0,16,16,15,0,0,0,10,0,0,0,0,16,14,8,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,7,0,2,3,0,5,6,15,0,12,15,14,12,0,0,0,6,0,0,6,0,0,0,0,18,0,0,0,0,17,9,11,18,19,6,0,18,0,0,18,18,16,0,0,0,10,6,0,0,0,17,17,13,0,0,0,0,0,0,0,0,0
19,0,0,5,0,0,0,1,0,9,0,4,3,0,2,8,11,0,10,12,17,7,0,14,7,15,0,0,13,0,0,0,0,11,0,0,0,0,13,6,9,16,15,15,0,16,0,0,17,17,17,0,0,0,0,0,0,0,0,12,18,16,0,0,0,0,0,0,0,0,0
12,0,0,3,0,0,0,6,0,10,0,2,3,0,5,13,11,0,11,13,16,13,0,0,1,4,0,0,8,0,0,0,0,14,0,0,0,0,15,9,9,13,13,7,0,13,0,0,14,14,12,0,0,0,14,0,0,0,0,13,13,12,0,0,0,0,0,0,0,0,0
14,0,0,4,0,0,0,1,0,5,0,2,3,0,3,7,6,0,9,11,10,10,0,6,3,6,0,0,5,0,0,0,0,9,0,0,0,0,14,8,5,14,15,7,0,11,0,0,14,14,14,0,0,0,0,0,0,0,0,12,13,10,2,0,0,0,0,0,0,0,0
9,0,0,3,0,0,0,1,0,8,0,2,2,0,1,10,3,0,4,8,8,9,0,0,2,6,0,0,2,0,0,0,0,9,0,0,0,0,6,5,3,9,9,3,0,6,0,0,5,6,5,0,0,0,4,0,0,0,0,7,8,7,1,0,0,0,0,0,0,0,0
16,0,0,6,0,0,0,3,0,10,0,2,4,0,5,9,14,0,12,16,16,11,0,0,1,8,0,0,7,0,0,0,0,16,0,0,0,0,12,10,11,16,14,9,0,15,0,0,16,16,11,0,0,0,13,0,0,0,0,16,16,9,5,0,0,0,0,0,0,0,0
9,0,0,4,0,0,0,3,0,8,0,2,1,0,5,8,7,0,10,10,11,13,0,0,0,6,0,12,6,0,0,0,0,12,0,0,0,0,11,7,8,12,11,7,0,12,0,0,11,11,11,0,0,0,7,6,0,0,0,11,11,7,2,0,0,0,0,0,0,0,0
