"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
12,15,11,5,6,7,0,1,0,10,3,4,0,2,5,10,14,8,18,0,0,0,0,0,0,16,0,0,0,0,17,15,0,17,13,10,9,0,0,0,0,19,0,0,0,0,0,12,14,17,16,15,0,0,0,0,0,0,0,0,0
12,13,10,6,5,0,0,1,0,9,3,2,8,0,4,10,13,7,16,0,0,0,0,0,0,0,0,0,0,0,17,13,16,15,13,8,12,0,0,0,0,18,0,0,0,0,0,11,13,16,14,14,0,0,0,0,0,0,0,0,0
10,11,8,5,5,0,0,1,0,8,4,3,7,2,5,8,11,6,15,0,0,0,0,10,0,0,0,0,0,0,16,0,14,15,11,8,9,0,0,0,0,17,0,0,0,0,0,10,11,15,13,12,0,0,0,0,0,0,0,0,0
11,13,11,7,6,0,0,1,0,10,4,3,9,2,5,10,14,8,19,0,0,0,0,11,0,0,0,0,0,0,18,0,16,17,13,10,10,0,0,0,0,20,0,0,0,0,0,12,13,17,15,15,0,0,0,0,0,0,0,0,0
12,14,11,6,5,0,0,1,0,10,4,3,8,2,5,9,14,7,17,0,0,0,0,14,0,0,0,0,0,0,18,0,16,16,13,11,10,0,0,0,0,19,0,0,0,0,0,12,13,18,15,14,0,0,0,0,0,0,0,0,0
12,14,11,6,5,0,0,1,0,10,4,3,8,2,5,10,14,7,19,0,0,0,0,0,0,0,18,0,0,0,19,0,16,17,12,11,9,0,0,0,0,20,0,0,13,0,0,12,13,19,15,14,0,0,0,0,0,0,0,0,0
11,13,9,5,4,0,0,1,0,9,4,3,7,2,5,8,13,6,17,0,0,0,0,0,0,0,18,18,0,0,17,11,15,16,12,8,9,0,0,0,0,18,0,0,0,0,0,10,12,15,14,14,0,0,0,0,0,0,0,0,0
14,15,12,7,5,0,0,1,0,11,4,3,9,2,6,10,15,8,19,0,0,0,0,14,0,0,0,21,0,0,20,0,18,18,14,12,12,0,20,0,0,21,0,0,16,0,0,13,14,18,17,16,0,0,0,0,0,0,0,0,0
13,16,11,7,5,0,0,1,0,10,4,3,9,2,6,10,15,8,21,0,0,0,0,0,0,0,0,22,0,0,21,17,20,20,13,11,10,0,22,0,0,22,0,0,19,0,0,12,14,21,18,14,0,0,0,0,0,0,0,0,0
11,13,9,5,4,0,0,1,0,9,3,2,7,2,4,8,13,6,16,0,0,0,0,13,0,0,0,18,0,0,17,0,15,15,13,8,10,0,19,0,0,18,0,0,14,0,0,11,12,16,13,13,0,0,0,0,0,0,0,0,0
11,14,10,6,5,0,0,1,0,9,4,3,8,2,5,8,13,7,17,0,0,0,0,12,0,0,18,18,0,0,17,0,16,16,12,8,10,0,17,17,0,18,0,0,0,0,0,11,12,16,15,14,0,0,0,0,0,0,0,0,0
