"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
12,8,10,4,4,6,0,1,0,9,3,2,0,2,5,8,13,7,15,0,0,0,0,0,0,14,0,0,0,0,15,13,0,15,15,11,8,0,0,0,0,17,0,0,0,0,0,12,13,17,16,14,0,0,0,0,0,0,0,0,0
11,8,8,3,4,0,0,1,0,7,2,1,6,0,5,7,12,6,14,0,0,0,0,0,0,0,0,0,0,0,16,13,13,17,14,8,10,0,0,0,0,19,0,0,0,0,0,9,12,18,15,15,0,0,0,0,0,0,0,0,0
13,10,11,5,5,0,0,1,0,10,4,2,7,3,6,9,14,8,15,0,0,0,0,15,0,0,0,0,0,0,17,0,15,17,15,12,11,0,0,0,0,18,0,0,0,0,0,12,14,17,17,16,0,0,0,0,0,0,0,0,0
14,11,12,5,6,0,0,1,0,11,4,2,8,3,7,10,15,9,17,0,0,0,0,16,0,0,0,0,0,0,18,0,16,19,17,11,13,0,0,0,0,20,0,0,0,0,0,13,16,19,19,17,0,0,0,0,0,0,0,0,0
13,9,11,5,5,0,0,1,0,10,4,2,7,3,6,8,14,7,15,0,0,0,0,15,0,0,0,0,0,0,17,0,15,16,15,12,10,0,0,0,0,19,0,0,0,0,0,12,14,18,18,15,0,0,0,0,0,0,0,0,0
13,10,11,6,5,0,0,1,0,10,4,2,7,3,6,9,14,8,16,0,0,0,0,0,0,0,20,0,0,0,19,0,15,18,15,10,10,0,0,0,0,21,0,0,16,0,0,12,14,19,18,17,0,0,0,0,0,0,0,0,0
16,13,14,5,6,0,0,1,0,11,4,2,8,3,7,10,18,9,21,0,0,0,0,0,0,0,24,24,0,0,22,18,20,22,19,13,12,0,0,0,0,24,0,0,0,0,0,15,17,23,23,20,0,0,0,0,0,0,0,0,0
13,10,11,6,5,0,0,1,0,10,4,2,7,3,6,8,15,7,17,0,0,0,0,15,0,0,0,21,0,0,19,0,16,20,15,12,9,0,22,0,0,21,0,0,18,0,0,12,14,19,19,17,0,0,0,0,0,0,0,0,0
13,10,11,6,5,0,0,1,0,10,4,2,7,3,6,9,15,8,18,0,0,0,0,0,0,0,0,21,0,0,19,15,16,19,15,11,10,0,21,0,0,21,0,0,16,0,0,12,14,20,18,17,0,0,0,0,0,0,0,0,0
13,10,11,5,5,0,0,1,0,9,4,2,6,3,5,8,14,7,15,0,0,0,0,14,0,0,0,19,0,0,17,0,15,18,14,12,9,0,19,0,0,19,0,0,16,0,0,12,13,17,17,15,0,0,0,0,0,0,0,0,0
13,11,11,6,5,0,0,1,0,10,4,2,7,3,6,9,15,8,17,0,0,0,0,14,0,0,20,20,0,0,18,0,16,18,15,12,11,0,20,20,0,20,0,0,0,0,0,13,14,19,19,17,0,0,0,0,0,0,0,0,0
14,11,12,6,5,0,0,1,0,10,4,2,8,3,6,9,15,7,18,0,0,0,0,16,0,0,0,0,0,0,19,0,16,20,16,11,10,0,21,22,0,21,0,0,17,21,0,13,15,20,17,17,0,0,0,0,0,0,0,0,0
13,9,11,5,5,0,0,1,0,9,4,2,6,3,5,7,14,6,9,0,0,0,0,0,0,0,20,22,0,0,19,0,17,18,0,10,8,0,21,23,0,20,0,0,16,0,15,8,13,12,17,17,0,0,0,0,0,0,0,0,0
14,12,13,6,5,0,0,1,0,10,4,2,7,3,5,8,15,7,11,0,0,0,0,17,0,0,17,17,0,0,17,0,17,17,0,13,9,0,17,17,0,17,0,0,0,0,16,11,15,15,17,13,0,0,0,0,0,0,0,0,0
15,12,13,6,5,0,0,1,0,10,4,2,8,3,6,9,15,7,13,0,0,0,0,16,0,0,0,0,0,0,19,0,17,20,0,13,11,0,21,23,0,22,0,0,18,22,16,10,14,15,18,13,0,0,0,0,0,0,0,0,0
16,12,13,6,5,0,0,1,0,11,4,2,8,3,5,9,16,7,11,0,0,0,0,0,0,0,20,22,0,0,19,0,18,19,0,14,12,0,21,21,0,21,0,0,18,0,17,10,15,14,19,12,0,0,0,0,0,0,0,0,0
14,12,12,7,6,0,0,1,0,10,4,2,8,3,5,9,13,8,11,0,16,0,0,15,0,0,21,22,0,0,18,0,15,18,0,12,11,0,19,19,0,20,0,0,0,0,15,10,13,13,17,12,0,0,0,0,0,0,0,0,0
0,9,12,7,6,0,0,1,0,11,4,2,8,3,5,9,14,8,8,0,18,0,0,0,0,0,20,22,0,0,18,0,16,19,0,12,10,0,20,21,0,22,0,0,17,0,15,11,13,17,18,13,0,0,0,0,0,0,0,0,0
0,9,12,6,5,0,0,1,0,10,4,2,7,3,5,9,15,8,7,0,18,0,0,0,0,0,20,0,0,0,18,0,16,19,0,13,12,0,20,21,0,21,0,18,17,22,16,11,14,16,20,13,0,0,0,0,0,0,0,0,0
0,11,13,6,5,0,0,1,0,10,4,2,8,3,6,9,15,8,7,0,18,0,0,17,0,0,22,23,0,0,19,0,17,20,0,13,10,0,20,21,0,22,0,22,0,0,16,12,15,16,18,14,0,0,0,0,0,0,0,0,0
0,12,14,7,5,0,0,1,0,13,4,2,10,3,6,11,17,9,8,0,20,0,0,18,0,0,22,23,0,0,20,0,18,20,0,15,14,0,21,22,0,22,0,19,0,0,18,14,16,18,19,17,0,0,0,0,0,0,0,0,0
12,10,0,6,5,0,0,1,0,11,4,2,8,3,5,9,16,7,8,0,22,0,0,17,0,0,0,0,0,0,20,0,17,21,0,14,10,0,23,25,0,24,0,21,19,25,15,12,14,0,24,13,18,0,0,0,0,0,0,0,0
14,10,0,6,5,0,0,1,0,12,4,2,8,3,6,10,16,7,9,0,21,0,0,18,0,0,23,23,0,0,15,0,17,21,0,15,11,0,23,23,0,22,0,22,0,0,16,13,15,0,20,15,19,0,0,0,0,0,0,0,0
14,10,0,6,5,0,0,1,0,11,4,2,8,3,5,9,17,7,8,0,21,0,0,20,0,0,23,24,0,0,18,0,19,21,0,16,13,0,22,24,0,23,0,22,0,0,18,12,16,0,22,15,20,0,0,0,0,0,0,0,0
15,12,0,7,6,8,4,2,0,13,5,1,10,3,0,12,18,9,11,0,23,0,0,0,0,0,26,26,0,0,20,21,21,22,0,17,12,0,24,25,0,25,0,23,0,0,19,14,17,0,23,16,22,0,0,0,0,0,0,0,0
15,12,0,6,6,7,4,2,0,13,5,1,9,3,0,11,17,8,10,0,22,0,0,0,0,0,0,24,24,0,18,20,19,21,0,15,12,0,23,24,0,24,0,23,21,0,17,14,16,0,22,16,21,0,0,0,0,0,0,0,0
14,11,0,6,5,7,4,2,0,12,4,1,9,3,0,10,16,8,10,0,20,0,0,19,19,0,22,0,24,0,17,0,18,20,0,16,14,0,22,22,0,23,0,21,0,21,17,13,15,0,20,15,20,0,0,0,0,0,0,0,0
13,11,0,6,5,7,4,2,0,11,4,1,9,3,0,10,15,8,11,0,20,0,0,0,18,0,23,0,25,0,16,0,17,20,0,14,11,0,22,23,0,24,0,23,19,21,15,12,14,0,22,14,20,0,0,0,0,0,0,0,0
14,11,0,6,5,7,4,2,0,12,4,1,9,3,0,10,18,8,11,0,23,0,0,21,20,0,25,26,26,0,17,0,19,23,0,14,13,0,24,24,0,25,0,26,0,0,18,13,16,0,24,15,22,0,0,0,0,0,0,0,0
12,10,0,5,5,6,4,2,0,10,4,1,8,3,0,9,14,7,10,0,18,0,0,0,0,0,21,22,22,0,14,0,16,18,0,13,11,0,20,21,0,22,0,20,17,18,15,11,13,0,20,13,19,0,0,0,0,0,0,0,0
14,13,0,6,6,7,4,1,0,11,5,2,9,3,0,10,18,8,13,0,23,0,0,0,0,0,24,26,27,0,17,0,20,22,0,15,12,0,24,25,0,24,0,24,20,21,19,13,16,0,23,16,22,0,0,0,0,0,0,0,0
12,10,0,5,4,6,3,1,0,10,3,1,8,2,0,9,15,7,11,0,20,0,0,18,0,0,23,23,24,0,14,0,17,18,0,13,11,0,22,24,0,23,0,21,0,19,16,11,13,0,21,14,19,0,0,0,0,0,0,0,0
15,12,0,5,6,7,4,1,0,11,4,2,9,3,0,10,17,8,12,0,21,0,0,0,20,0,26,0,28,0,16,0,19,21,0,16,14,0,24,25,0,27,0,24,20,23,18,13,16,0,25,15,22,0,0,0,0,0,0,0,0
14,12,0,6,7,8,4,2,0,12,5,1,10,3,0,11,16,9,12,0,23,0,0,20,21,0,24,25,26,0,17,0,18,22,0,18,12,0,24,26,0,25,0,24,0,0,19,13,15,0,24,14,23,0,0,0,0,0,0,0,0
15,13,0,6,5,7,4,2,0,12,4,1,9,3,0,10,17,8,11,0,23,0,0,0,20,0,24,0,26,0,17,0,19,21,0,16,14,0,23,25,0,26,0,23,20,22,18,12,16,0,23,16,21,0,0,0,0,0,0,0,0
