"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
11,11,10,6,4,7,0,1,0,10,5,3,0,2,6,11,12,8,13,0,0,0,0,0,0,15,0,0,0,0,14,12,0,18,19,9,10,0,0,0,0,17,0,0,0,0,0,11,12,16,13,14,0,0,0,0,0,0,0,0,0
14,12,12,5,6,0,0,1,0,10,4,2,7,0,3,11,15,9,19,0,0,0,0,0,0,0,0,0,0,0,17,10,16,17,17,9,8,0,0,0,0,19,0,0,0,0,0,13,14,18,20,14,0,0,0,0,0,0,0,0,0
13,12,14,5,6,0,0,1,0,11,4,2,7,3,4,10,18,8,17,0,0,0,0,17,0,0,0,0,0,0,20,0,18,22,21,9,7,0,0,0,0,22,0,0,0,0,0,16,15,22,16,19,0,0,0,0,0,0,0,0,0
13,12,13,5,6,0,0,1,0,11,4,2,7,3,5,8,14,9,16,0,0,0,0,10,0,0,0,0,0,0,16,0,15,16,15,14,9,0,0,0,0,17,0,0,0,0,0,10,14,18,16,16,0,0,0,0,0,0,0,0,0
17,13,12,5,6,0,0,1,0,9,3,2,7,4,6,10,15,8,19,0,0,0,0,14,0,0,0,0,0,0,20,0,18,22,21,10,11,0,0,0,0,20,0,0,0,0,0,14,16,24,23,19,0,0,0,0,0,0,0,0,0
13,11,11,5,4,0,0,1,0,10,5,2,7,3,6,10,14,8,13,0,0,0,0,0,0,0,19,0,0,0,16,0,15,18,13,12,9,0,0,0,0,20,0,0,14,0,0,12,12,19,17,16,0,0,0,0,0,0,0,0,0
14,8,10,5,4,0,0,1,0,9,3,2,7,1,5,8,12,6,19,0,0,0,0,0,0,0,18,19,0,0,18,9,16,17,15,13,10,0,0,0,0,18,0,0,0,0,0,10,11,18,20,17,0,0,0,0,0,0,0,0,0
13,9,12,5,4,0,0,1,0,11,3,2,7,1,6,11,15,8,18,0,0,0,0,21,0,0,0,19,0,0,17,0,16,17,10,11,13,0,19,0,0,18,0,0,20,0,0,14,13,13,18,16,0,0,0,0,0,0,0,0,0
11,8,9,4,4,0,0,1,0,8,3,2,6,2,4,7,12,5,13,0,0,0,0,0,0,0,0,18,0,0,16,12,14,13,17,13,8,0,19,0,0,18,0,0,14,0,0,10,12,19,20,15,0,0,0,0,0,0,0,0,0
12,10,11,5,6,0,0,1,0,10,4,2,7,3,5,9,13,8,13,0,0,0,0,9,0,0,0,22,0,0,19,0,16,23,18,14,11,0,21,0,0,22,0,0,13,0,0,12,15,20,19,17,0,0,0,0,0,0,0,0,0
13,11,12,6,5,0,0,1,0,11,4,2,8,3,7,10,16,9,15,0,0,0,0,15,0,0,22,22,0,0,19,0,16,21,18,16,15,0,17,21,0,23,0,0,0,0,0,14,16,20,21,17,0,0,0,0,0,0,0,0,0
15,10,14,7,5,0,0,1,0,13,6,3,8,2,4,10,17,9,23,0,0,0,0,15,0,0,0,0,0,0,20,0,18,20,18,12,11,0,21,21,0,22,0,0,19,21,0,14,14,18,16,15,0,0,0,0,0,0,0,0,0
12,7,11,5,3,0,0,1,0,10,4,2,6,2,5,8,15,10,9,0,0,0,0,0,0,0,21,21,0,0,19,0,17,18,0,9,14,0,21,20,0,21,0,0,16,0,14,9,13,9,16,15,0,0,0,0,0,0,0,0,0
15,14,13,6,7,0,0,1,0,11,3,2,8,4,5,11,20,9,17,0,0,0,0,13,0,0,24,23,0,0,21,0,19,22,0,13,16,0,25,24,0,26,0,0,0,0,19,12,18,20,25,10,0,0,0,0,0,0,0,0,0
17,15,14,7,6,0,0,1,0,10,4,2,8,3,5,11,16,8,16,0,0,0,0,13,0,0,0,0,0,0,23,0,20,22,0,15,9,0,26,25,0,24,0,0,19,24,21,12,16,18,21,12,0,0,0,0,0,0,0,0,0
16,15,15,6,5,0,0,1,0,13,4,2,7,3,5,11,15,9,10,0,0,0,0,0,0,0,19,21,0,0,19,0,18,20,0,8,15,0,19,19,0,21,0,0,22,0,17,13,15,14,14,12,0,0,0,0,0,0,0,0,0
17,10,15,7,5,0,0,1,0,14,4,3,9,2,6,11,18,8,14,0,23,0,0,21,0,0,23,23,0,0,20,0,18,22,0,17,13,0,21,24,0,21,0,0,0,0,19,16,18,18,20,12,0,0,0,0,0,0,0,0,0
0,13,13,6,4,0,0,1,0,10,2,2,9,3,5,8,16,7,6,0,19,0,0,0,0,0,20,21,0,0,18,0,17,19,0,13,11,0,22,22,0,22,0,0,18,0,17,12,15,15,19,14,0,0,0,0,0,0,0,0,0
0,10,14,5,6,0,0,2,0,9,3,1,9,4,7,11,17,8,9,0,22,0,0,0,0,0,22,0,0,0,21,0,18,23,0,13,15,0,27,24,0,26,0,20,19,25,18,12,16,25,21,11,0,0,0,0,0,0,0,0,0
0,14,15,5,7,0,0,1,0,13,4,2,9,3,6,12,16,10,8,0,19,0,0,22,0,0,25,25,0,0,20,0,18,23,0,13,19,0,22,21,0,25,0,26,0,0,17,11,15,16,24,16,0,0,0,0,0,0,0,0,0
0,8,14,5,4,0,0,1,0,12,3,2,7,3,6,11,14,7,7,0,18,0,0,13,0,0,25,27,0,0,23,0,16,26,0,21,9,0,22,24,0,25,0,19,0,0,17,10,13,19,20,15,0,0,0,0,0,0,0,0,0
15,11,0,6,5,0,0,1,0,12,4,2,8,3,5,10,18,9,7,0,23,0,0,14,0,0,0,0,0,0,23,0,20,21,0,9,10,0,24,23,0,25,0,24,19,25,13,16,17,0,19,14,22,0,0,0,0,0,0,0,0
13,10,0,6,6,0,0,1,0,10,4,2,8,3,5,10,14,7,8,0,19,0,0,14,0,0,19,19,0,0,15,0,17,18,0,12,11,0,20,19,0,18,0,19,0,0,13,9,11,0,19,13,16,0,0,0,0,0,0,0,0
13,14,0,6,4,0,0,2,0,11,5,1,8,3,7,9,17,8,12,0,21,0,0,22,0,0,22,25,0,0,16,0,18,24,0,20,15,0,24,27,0,23,0,26,0,0,19,13,16,0,28,10,20,0,0,0,0,0,0,0,0
16,13,0,7,6,8,4,1,0,12,5,2,10,3,0,14,17,9,11,0,23,0,0,0,0,0,26,25,0,0,19,22,21,24,0,18,14,0,26,26,0,24,0,24,0,0,20,15,18,0,24,22,22,0,0,0,0,0,0,0,0
16,11,0,7,6,9,3,2,0,14,5,1,12,4,0,13,20,10,9,0,21,0,0,0,0,0,0,25,26,0,22,17,20,23,0,18,8,0,23,24,0,25,0,23,20,0,19,15,17,0,26,16,21,0,0,0,0,0,0,0,0
14,11,0,6,7,8,4,2,0,11,5,1,10,3,0,12,16,9,13,0,19,0,0,28,21,0,25,0,29,0,18,0,16,26,0,21,12,0,24,27,0,23,0,19,0,22,17,13,15,0,30,16,20,0,0,0,0,0,0,0,0
15,12,0,5,6,7,4,2,0,11,5,1,10,3,0,10,16,9,8,0,23,0,0,0,18,0,25,0,22,0,19,0,19,20,0,14,10,0,25,26,0,26,0,27,20,22,19,13,17,0,24,16,21,0,0,0,0,0,0,0,0
16,12,0,7,6,8,5,2,0,14,4,1,11,3,0,10,18,9,13,0,26,0,0,20,21,0,26,26,27,0,17,0,22,24,0,15,16,0,26,26,0,26,0,25,0,0,20,14,19,0,26,21,23,0,0,0,0,0,0,0,0
14,14,0,6,5,6,3,1,0,13,4,1,10,2,0,11,18,7,9,0,20,0,0,0,0,0,24,27,26,0,16,0,20,28,0,12,8,0,21,23,0,29,0,23,16,22,15,12,17,0,30,19,25,0,0,0,0,0,0,0,0
14,10,0,5,6,7,5,2,0,11,4,1,9,3,0,12,17,8,9,0,25,0,0,0,0,0,23,24,22,0,18,0,16,21,0,16,13,0,19,21,0,22,0,26,21,19,16,15,15,0,21,15,20,0,0,0,0,0,0,0,0
16,14,0,7,6,8,5,2,0,12,4,1,10,3,0,9,18,9,11,0,23,0,0,21,0,0,24,25,26,0,17,0,20,22,0,18,15,0,20,25,0,22,0,25,0,19,17,13,15,0,21,16,21,0,0,0,0,0,0,0,0
14,13,0,7,6,8,5,1,0,11,4,2,11,3,0,10,16,9,15,0,19,0,0,0,17,0,24,0,24,0,18,0,19,20,0,17,11,0,22,23,0,22,0,22,20,21,17,12,15,0,22,17,20,0,0,0,0,0,0,0,0
11,10,0,4,5,6,4,2,0,10,4,1,8,3,0,9,15,7,11,0,21,0,0,17,17,0,22,23,25,0,13,0,16,20,0,11,10,0,24,23,0,23,0,18,0,0,14,12,13,0,20,15,19,0,0,0,0,0,0,0,0
15,18,0,7,6,8,5,2,0,13,4,1,10,3,0,9,21,11,14,0,26,0,0,0,19,0,29,0,32,0,20,0,23,25,0,24,17,0,28,30,0,31,0,27,27,27,22,12,16,0,32,16,27,0,0,0,0,0,0,0,0
16,13,0,6,7,8,4,2,0,11,5,1,10,3,0,10,17,9,11,0,21,0,0,23,22,0,27,29,29,0,18,0,19,26,0,10,12,0,24,27,0,30,0,28,0,0,17,11,15,0,20,14,25,0,0,0,0,0,0,0,0
15,14,0,6,7,7,4,2,0,14,5,1,9,3,0,10,19,8,11,0,25,0,0,20,0,0,27,28,26,0,18,0,17,21,0,14,13,0,23,24,0,25,0,25,0,22,20,12,16,0,23,17,24,0,0,0,0,0,0,0,0
15,12,0,5,6,7,4,2,0,11,5,1,10,3,0,9,16,8,12,0,20,0,0,23,0,0,22,21,22,0,17,0,15,19,0,17,9,0,20,18,0,22,0,20,0,18,16,13,14,0,24,16,20,0,0,0,0,0,0,0,0
16,11,0,7,6,8,4,2,0,15,5,1,10,3,0,12,19,9,13,0,28,0,0,18,22,0,29,0,28,0,21,21,23,25,0,24,17,0,27,27,0,29,0,25,0,26,20,14,17,0,30,18,22,0,0,0,0,0,0,0,0
18,18,0,5,6,7,4,2,0,12,6,1,9,3,0,10,19,8,11,0,24,0,0,20,21,0,27,25,25,0,16,21,22,24,0,14,13,0,26,28,0,28,0,23,0,0,20,15,17,0,28,15,23,0,0,0,0,0,0,0,0
16,13,0,5,6,7,4,2,0,13,5,1,11,3,0,9,16,10,8,0,20,0,0,16,20,0,24,0,23,0,17,17,19,22,0,15,16,0,24,25,0,25,0,24,0,22,18,14,15,0,18,12,21,0,0,0,0,0,0,0,0
14,11,0,6,5,7,4,2,0,11,4,1,9,3,0,9,16,8,15,0,18,0,0,15,0,0,22,23,24,0,13,16,17,19,0,15,12,0,25,24,0,22,0,22,0,20,17,10,12,0,19,12,21,0,0,0,0,0,0,0,0
11,10,0,5,6,7,4,2,0,10,5,1,8,3,0,9,15,8,11,0,26,0,0,19,21,0,26,0,28,0,14,25,17,20,0,13,18,0,26,27,0,28,0,22,0,24,17,11,12,0,26,16,23,0,0,0,0,0,0,0,0
17,15,0,6,8,7,4,2,0,12,5,1,10,3,0,11,19,9,16,0,27,0,0,18,21,0,27,0,26,0,17,20,20,23,0,21,13,0,25,28,0,27,0,24,0,22,20,14,18,0,28,17,25,0,0,0,0,0,0,0,0
16,14,0,6,7,8,4,1,0,11,5,2,10,3,0,9,17,10,13,0,20,0,0,17,18,0,23,0,22,0,17,19,19,21,0,15,15,0,22,21,0,23,0,21,0,20,19,12,15,0,21,16,21,0,0,0,0,0,0,0,0
13,14,0,6,6,7,5,1,0,12,4,2,9,3,0,11,15,8,15,0,20,0,0,16,0,0,24,24,22,0,18,17,19,20,0,14,15,0,19,23,0,25,0,20,0,20,17,10,13,0,20,19,21,0,0,0,0,0,0,0,0
16,14,0,7,6,8,4,2,0,14,5,1,10,3,0,10,20,9,13,0,25,0,0,20,21,0,28,0,24,0,18,22,19,28,14,16,11,0,29,27,0,29,0,24,0,23,15,12,17,0,30,15,26,0,0,0,0,0,0,0,0
14,13,0,6,7,8,4,1,0,12,5,2,9,3,0,10,16,9,16,0,22,0,0,24,20,0,28,29,31,0,16,30,19,22,20,14,17,0,25,23,0,27,0,24,0,0,21,11,15,0,18,13,26,0,0,0,0,0,0,0,0
17,13,0,6,7,8,4,1,0,15,5,2,10,3,0,11,19,9,14,0,26,0,0,30,23,0,28,0,29,0,20,32,21,27,20,24,12,0,22,23,0,30,0,30,0,25,18,14,16,0,31,19,27,0,0,0,0,0,0,0,0
14,13,0,5,6,7,4,1,0,11,4,2,9,3,0,9,17,8,15,0,26,0,0,17,0,0,25,24,24,0,16,20,20,22,19,10,13,0,23,23,0,23,0,23,0,20,18,11,12,0,21,12,22,0,0,0,0,0,0,0,0
13,12,0,4,5,6,4,1,0,9,5,2,8,3,0,10,18,7,9,0,24,0,0,21,0,0,26,28,27,0,20,24,22,26,15,13,17,0,29,25,0,29,0,23,0,23,19,11,14,0,24,16,27,0,0,0,0,0,0,0,0
18,14,0,5,6,7,3,1,8,11,4,1,10,2,0,9,17,9,15,0,25,0,0,24,21,0,25,26,27,0,17,25,22,23,12,19,14,0,18,25,0,24,0,24,0,0,22,13,16,0,24,16,20,0,0,0,0,0,0,0,0
16,15,0,8,7,6,4,1,10,13,5,2,11,3,0,10,19,9,15,0,29,0,0,17,24,0,30,0,29,0,14,22,22,28,21,16,20,0,26,28,0,30,0,28,0,25,23,12,18,0,31,15,27,0,0,0,0,0,0,0,0
16,15,0,5,7,8,4,1,11,13,6,2,11,3,0,12,18,9,18,0,26,0,0,0,19,0,28,30,29,0,16,31,20,22,14,23,15,0,24,21,0,25,0,27,21,0,17,10,16,0,32,16,20,0,0,0,0,0,0,0,0
16,12,0,4,6,7,4,1,8,12,5,2,10,3,0,11,17,9,13,0,24,0,0,0,19,0,28,28,28,0,26,29,22,21,21,15,18,0,25,23,0,29,0,27,22,0,20,11,14,0,21,15,27,0,0,0,0,0,0,0,0
16,14,0,5,6,8,4,1,11,13,7,2,10,3,0,12,18,9,14,0,22,0,0,19,21,0,26,0,28,0,17,19,19,23,16,20,17,0,25,24,0,26,0,27,0,23,20,11,15,0,27,15,21,0,0,0,0,0,0,0,0
17,14,0,6,5,7,4,1,9,13,5,2,10,3,0,11,17,8,18,0,28,0,0,0,22,0,28,0,29,0,16,20,21,26,12,20,17,0,26,24,0,27,0,27,23,25,20,9,15,0,30,19,27,0,0,0,0,0,0,0,0
14,15,0,5,4,7,3,1,8,9,6,2,10,4,0,9,16,8,11,0,20,0,0,0,0,0,23,23,22,0,19,22,18,22,16,17,12,0,24,21,0,23,0,18,18,19,18,9,13,0,23,10,23,0,0,0,0,0,0,0,0
19,15,0,7,6,8,4,1,0,13,5,2,10,3,0,12,18,9,14,0,25,0,0,0,21,0,29,0,28,0,17,30,20,24,19,19,16,0,26,30,0,28,0,26,27,23,22,11,16,0,25,18,25,0,0,0,0,0,0,0,0
16,14,0,5,6,7,4,1,0,10,4,2,10,3,0,9,19,8,11,0,22,0,0,0,20,0,26,0,27,0,13,28,20,24,12,19,13,0,25,28,0,28,0,24,24,23,18,10,17,0,24,15,21,0,0,0,0,0,0,0,0
15,14,0,6,5,7,4,1,9,11,6,2,12,3,0,9,18,8,11,0,24,0,0,0,0,0,26,26,27,0,15,22,19,23,16,17,17,0,25,25,0,26,0,21,23,23,20,10,13,0,22,11,19,0,0,0,0,0,0,0,0
17,15,0,6,5,7,4,1,10,12,4,2,11,3,0,11,18,9,16,0,26,0,0,0,0,0,27,27,29,0,15,21,21,25,17,18,14,0,24,28,0,27,0,26,22,23,20,8,13,0,19,15,26,0,0,0,0,0,0,0,0
18,15,14,5,7,8,4,1,0,11,6,2,10,3,0,12,19,9,13,0,28,0,0,0,21,0,29,31,30,0,18,30,21,26,22,23,20,0,26,25,0,29,0,27,26,0,24,11,16,0,32,17,24,0,0,0,0,0,0,0,0
14,10,11,4,4,5,3,1,0,9,4,1,8,2,0,6,17,6,13,0,24,0,0,0,20,0,27,0,26,0,20,21,19,24,14,16,12,0,23,25,0,28,0,24,18,22,18,7,15,0,24,17,29,0,0,0,0,0,0,0,0
17,14,13,6,5,7,4,1,0,11,5,2,9,3,0,12,18,8,9,0,22,0,0,0,0,0,25,27,29,0,20,30,20,24,21,18,18,0,22,26,0,28,0,23,24,21,21,10,16,0,19,15,26,0,0,0,0,0,0,0,0
16,13,15,6,4,5,3,1,0,10,4,2,8,3,0,9,16,7,20,0,22,0,0,0,0,0,23,23,24,0,12,17,19,22,19,22,11,0,23,24,0,24,0,22,21,22,17,11,14,0,24,18,24,0,0,0,0,0,0,0,0
