"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
11,14,12,5,5,7,0,1,0,10,3,4,0,2,6,12,13,6,18,0,0,0,0,0,0,14,0,0,0,0,18,19,0,16,7,9,8,0,0,0,0,17,0,0,0,0,0,13,13,12,15,15,0,0,0,0,0,0,0,0,0
12,18,12,3,4,0,0,1,0,10,3,2,9,0,5,13,17,7,19,0,0,0,0,0,0,0,0,0,0,0,22,19,21,20,14,6,8,0,0,0,0,23,0,0,0,0,0,15,16,18,19,11,0,0,0,0,0,0,0,0,0
10,10,10,6,3,0,0,1,0,11,5,4,7,2,5,9,14,7,19,0,0,0,0,7,0,0,0,0,0,0,19,0,16,18,15,14,7,0,0,0,0,20,0,0,0,0,0,13,8,21,12,17,0,0,0,0,0,0,0,0,0
11,14,9,5,4,0,0,1,0,9,6,3,8,2,6,10,15,7,20,0,0,0,0,12,0,0,0,0,0,0,17,0,16,19,16,12,11,0,0,0,0,19,0,0,0,0,0,13,14,21,16,18,0,0,0,0,0,0,0,0,0
8,10,11,6,3,0,0,1,0,9,4,3,7,2,5,9,15,8,19,0,0,0,0,17,0,0,0,0,0,0,20,0,19,19,16,14,11,0,0,0,0,21,0,0,0,0,0,12,16,18,22,13,0,0,0,0,0,0,0,0,0
14,16,12,6,5,0,0,1,0,11,4,3,11,2,7,10,13,8,16,0,0,0,0,0,0,0,18,0,0,0,18,0,20,19,15,9,10,0,0,0,0,20,0,0,14,0,0,12,15,19,11,17,0,0,0,0,0,0,0,0,0
14,17,13,7,4,0,0,1,0,11,5,2,9,3,6,13,16,8,21,0,0,0,0,0,0,0,21,22,0,0,20,14,19,18,14,10,17,0,0,0,0,22,0,0,0,0,0,12,15,20,18,18,0,0,0,0,0,0,0,0,0
10,13,8,5,5,0,0,1,0,8,4,3,7,2,6,9,12,7,18,0,0,0,0,9,0,0,0,19,0,0,20,0,18,17,19,13,16,0,22,0,0,20,0,0,15,0,0,11,12,20,21,14,0,0,0,0,0,0,0,0,0
11,14,12,6,4,0,0,1,0,10,3,2,7,3,5,11,13,9,20,0,0,0,0,0,0,0,0,22,0,0,18,22,17,17,15,9,8,0,22,0,0,21,0,0,21,0,0,15,14,19,15,16,0,0,0,0,0,0,0,0,0
13,16,11,7,7,0,0,1,0,11,4,3,8,2,5,10,16,6,21,0,0,0,0,9,0,0,0,21,0,0,20,0,18,19,9,12,11,0,18,0,0,21,0,0,14,0,0,13,15,17,16,15,0,0,0,0,0,0,0,0,0
8,13,10,5,3,0,0,1,0,7,2,3,6,2,4,10,12,5,16,0,0,0,0,9,0,0,18,20,0,0,17,0,15,16,14,7,7,0,21,19,0,17,0,0,0,0,0,11,8,19,7,13,0,0,0,0,0,0,0,0,0
13,15,14,7,5,0,0,1,0,12,4,2,10,3,6,11,18,9,20,0,0,0,0,14,0,0,0,0,0,0,22,0,20,19,15,15,8,0,25,21,0,23,0,0,17,24,0,12,16,24,25,12,0,0,0,0,0,0,0,0,0
12,16,11,6,5,0,0,1,0,9,4,2,8,3,4,10,15,7,14,0,0,0,0,0,0,0,20,22,0,0,18,0,17,19,0,15,7,0,20,21,0,22,0,0,13,0,15,8,14,8,17,15,0,0,0,0,0,0,0,0,0
13,15,10,7,5,0,0,1,0,11,4,2,8,3,6,10,13,8,16,0,0,0,0,19,0,0,21,20,0,0,18,0,17,19,0,11,9,0,19,19,0,21,0,0,0,0,15,8,14,12,13,16,0,0,0,0,0,0,0,0,0
11,16,12,8,6,0,0,1,0,11,5,2,10,3,4,14,15,7,17,0,0,0,0,11,0,0,0,0,0,0,19,0,18,21,0,11,11,0,23,20,0,22,0,0,16,23,17,13,16,9,16,13,0,0,0,0,0,0,0,0,0
13,17,12,5,5,0,0,1,0,10,3,2,10,2,4,8,15,6,15,0,0,0,0,0,0,0,20,22,0,0,23,0,18,21,0,8,11,0,18,19,0,23,0,0,19,0,14,9,16,12,22,7,0,0,0,0,0,0,0,0,0
10,14,12,6,5,0,0,1,0,8,4,2,9,3,5,8,15,6,13,0,16,0,0,18,0,0,20,21,0,0,18,0,17,18,0,8,7,0,19,19,0,21,0,0,0,0,14,10,11,8,19,16,0,0,0,0,0,0,0,0,0
0,16,10,6,5,0,0,1,0,10,3,2,10,4,6,7,15,8,11,0,18,0,0,0,0,0,22,22,0,0,21,0,17,20,0,16,11,0,19,22,0,23,0,0,22,0,14,11,13,12,24,9,0,0,0,0,0,0,0,0,0
0,16,12,7,5,0,0,1,0,10,4,2,9,3,6,11,14,8,9,0,22,0,0,0,0,0,21,0,0,0,19,0,21,19,0,10,15,0,19,21,0,20,0,16,24,23,18,10,13,15,17,12,0,0,0,0,0,0,0,0,0
0,11,12,6,5,0,0,1,0,12,4,2,9,3,5,10,15,7,9,0,20,0,0,18,0,0,21,21,0,0,20,0,18,19,0,13,16,0,20,20,0,21,0,17,0,0,18,8,14,10,19,9,0,0,0,0,0,0,0,0,0
0,16,12,7,6,0,0,1,0,10,5,2,9,3,4,10,12,8,10,0,26,0,0,9,0,0,22,23,0,0,25,0,18,20,0,19,10,0,21,24,0,24,0,14,0,0,17,11,12,15,25,13,0,0,0,0,0,0,0,0,0
12,16,0,6,5,0,0,1,0,13,4,2,10,3,7,11,17,9,8,0,24,0,0,17,0,0,0,0,0,0,24,0,20,22,0,17,9,0,21,23,0,24,0,16,20,24,14,12,18,0,25,15,19,0,0,0,0,0,0,0,0
13,15,0,7,6,0,0,1,0,10,5,2,8,3,4,9,15,8,10,0,20,0,0,11,0,0,23,23,0,0,15,0,19,19,0,12,14,0,23,21,0,22,0,22,0,0,16,10,15,0,18,17,17,0,0,0,0,0,0,0,0
13,14,0,6,4,0,0,2,0,10,3,1,9,3,5,8,13,7,8,0,16,0,0,14,0,0,20,21,0,0,21,0,16,17,0,11,9,0,18,19,0,21,0,12,0,0,14,10,15,0,17,15,14,0,0,0,0,0,0,0,0
