"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
5,0,0,2,0,0,2,1,0,4,0,2,0,0,3,10,5,0,12,0,11,13,0,0,0,10,0,0,8,0,0,0,0,11,0,0,0,0,0,6,6,5,12,6,0,11,0,0,10,12,12,6,0,0,7,0,0,0,0,9,12,8,0,0,0,0,0,0,0,0,0
6,0,0,4,0,0,0,1,0,5,0,3,2,0,4,6,6,0,12,11,12,12,0,9,6,12,0,0,9,0,0,0,0,11,0,0,0,0,10,8,7,6,12,9,0,12,0,0,12,12,12,0,0,0,0,0,0,0,0,12,12,7,0,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,5,0,3,2,0,4,7,6,0,13,13,13,13,0,0,7,12,0,0,10,0,0,0,0,12,0,0,0,0,11,10,9,6,13,9,0,13,0,0,13,13,13,0,0,0,10,0,0,0,0,13,13,8,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,6,0,4,2,0,5,8,7,0,16,12,13,13,0,0,0,13,0,0,10,0,0,0,0,12,0,0,0,0,11,10,9,3,14,9,0,14,0,0,13,13,15,0,0,0,10,10,0,0,0,15,13,9,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,6,0,4,2,0,5,8,7,0,14,12,13,15,0,10,10,12,0,0,10,0,0,0,0,12,0,0,0,0,11,10,9,3,14,9,0,14,0,0,14,14,14,0,0,0,0,0,0,0,0,14,14,9,0,0,0,0,0,0,0,0,0
7,0,0,4,0,0,0,1,0,6,0,4,2,0,5,7,7,0,11,11,11,11,0,0,9,11,0,0,10,0,0,0,0,11,0,0,0,0,11,10,9,3,11,9,0,11,0,0,11,11,11,0,0,0,10,0,0,0,0,11,11,8,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,6,0,4,2,0,5,7,7,0,13,13,13,13,0,10,12,13,0,0,11,0,0,0,0,13,0,0,0,0,12,11,10,3,13,11,0,13,0,0,13,13,13,0,0,0,0,0,0,0,0,13,13,8,9,0,0,0,0,0,0,0,0
7,0,0,4,0,0,0,1,0,5,0,4,2,0,5,6,6,0,13,13,12,13,0,0,11,12,0,0,10,0,0,0,0,12,0,0,0,0,11,10,9,3,13,9,0,13,0,0,13,13,13,0,0,0,9,0,0,0,0,13,13,8,9,0,0,0,0,0,0,0,0
7,0,0,4,0,0,0,1,0,5,0,4,2,0,5,7,6,0,13,13,12,13,0,0,12,12,0,0,10,0,0,0,0,13,0,0,0,0,11,10,8,3,13,9,0,13,0,0,13,13,13,0,0,0,9,0,0,0,0,13,13,7,8,0,0,0,0,0,0,0,0
7,0,0,3,0,0,0,1,0,5,0,3,2,0,4,6,5,0,11,11,11,11,0,0,0,11,0,7,9,0,0,0,0,11,0,0,0,0,10,9,8,2,11,9,0,11,0,0,11,11,11,0,0,0,8,6,0,0,0,11,11,7,7,0,0,0,0,0,0,0,0
9,0,0,4,0,0,0,1,0,6,0,4,2,0,5,8,6,0,16,14,14,15,0,0,0,13,0,9,11,0,0,0,0,14,0,0,0,0,12,10,10,3,15,10,0,15,0,0,15,16,16,0,0,0,10,7,0,0,0,15,15,9,8,0,0,0,0,0,0,0,0
7,0,0,3,0,0,0,1,0,6,0,4,2,0,5,7,6,0,10,10,10,10,0,0,0,10,0,7,9,0,0,0,0,10,0,0,0,0,10,8,8,2,10,8,0,10,0,0,10,10,10,0,0,0,9,7,0,0,0,10,10,7,7,0,0,0,0,0,0,0,0
7,0,0,3,0,0,0,1,0,5,0,3,2,0,4,7,6,0,13,13,12,13,0,0,0,11,0,9,9,0,0,0,0,12,0,0,0,0,10,9,8,2,13,8,0,13,0,13,13,12,13,0,0,0,8,7,0,0,0,13,13,7,7,0,0,0,0,0,0,0,0
