"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
10,13,9,5,5,6,0,1,0,8,4,3,0,2,5,9,14,7,17,0,0,0,0,0,0,15,0,0,0,0,16,12,0,16,13,11,8,0,0,0,0,18,0,0,0,0,0,11,15,16,16,13,0,0,0,0,0,0,0,0,0
11,13,8,5,5,0,0,1,0,9,3,2,7,0,4,10,14,6,19,0,0,0,0,0,0,0,0,0,0,0,18,13,16,17,12,12,11,0,0,0,0,20,0,0,0,0,0,12,14,15,15,14,0,0,0,0,0,0,0,0,0
10,11,9,6,6,0,0,1,0,9,4,3,8,2,5,9,12,7,16,0,0,0,0,10,0,0,0,0,0,0,15,0,14,15,11,9,9,0,0,0,0,17,0,0,0,0,0,10,12,15,13,11,0,0,0,0,0,0,0,0,0
11,13,8,5,5,0,0,1,0,8,4,3,6,2,5,9,14,6,18,0,0,0,0,12,0,0,0,0,0,0,17,0,16,17,13,10,7,0,0,0,0,19,0,0,0,0,0,12,14,16,15,13,0,0,0,0,0,0,0,0,0
13,14,11,6,5,0,0,1,0,10,4,3,8,2,5,9,15,7,19,0,0,0,0,14,0,0,0,0,0,0,18,0,16,17,12,12,12,0,0,0,0,20,0,0,0,0,0,12,14,16,16,13,0,0,0,0,0,0,0,0,0
12,13,11,6,5,0,0,1,0,9,4,3,8,2,5,10,14,7,18,0,0,0,0,0,0,0,17,0,0,0,17,0,16,16,9,12,11,0,0,0,0,19,0,0,14,0,0,12,14,15,14,13,0,0,0,0,0,0,0,0,0
11,12,10,6,5,0,0,1,0,10,4,3,8,2,6,9,13,7,18,0,0,0,0,0,0,0,18,18,0,0,17,11,15,16,11,11,9,0,0,0,0,18,0,0,0,0,0,11,12,16,14,11,0,0,0,0,0,0,0,0,0
11,14,10,6,6,0,0,1,0,9,4,3,8,2,5,9,14,7,19,0,0,0,0,12,0,0,0,19,0,0,18,0,16,17,10,11,9,0,19,0,0,19,0,0,15,0,0,11,13,16,15,11,0,0,0,0,0,0,0,0,0
13,14,10,6,5,0,0,1,0,10,4,3,8,2,5,9,14,7,19,0,0,0,0,0,0,0,0,20,0,0,18,14,16,17,13,10,9,0,20,0,0,20,0,0,15,0,0,11,14,19,15,12,0,0,0,0,0,0,0,0,0
13,14,11,6,5,0,0,1,0,10,4,3,8,2,5,9,15,7,19,0,0,0,0,12,0,0,0,20,0,0,18,0,17,18,14,12,9,0,17,0,0,20,0,0,15,0,0,13,14,18,16,14,0,0,0,0,0,0,0,0,0
11,12,9,5,4,0,0,1,0,9,3,2,7,2,4,8,13,6,18,0,0,0,0,10,0,0,19,19,0,0,17,0,15,16,11,10,8,0,18,18,0,19,0,0,0,0,0,11,12,17,14,11,0,0,0,0,0,0,0,0,0
11,12,10,6,5,0,0,1,0,10,4,3,8,2,5,9,14,7,20,0,0,0,0,11,0,0,0,0,0,0,18,0,16,16,10,11,10,0,17,19,0,22,0,0,15,21,0,11,13,16,16,11,0,0,0,0,0,0,0,0,0
12,13,11,6,4,0,0,1,0,10,4,2,8,3,5,9,14,7,14,0,0,0,0,0,0,0,20,22,0,0,19,0,17,18,0,12,8,0,18,19,0,21,0,0,16,0,12,8,12,7,15,12,0,0,0,0,0,0,0,0,0
13,14,12,6,5,0,0,1,0,11,4,2,9,3,5,10,15,7,16,0,0,0,0,15,0,0,22,22,0,0,20,0,18,19,0,12,9,0,20,21,0,22,0,0,0,0,14,9,15,11,17,8,0,0,0,0,0,0,0,0,0
13,16,12,7,6,0,0,1,0,11,4,2,10,3,5,11,15,8,17,0,0,0,0,17,0,0,0,0,0,0,21,0,19,20,0,13,10,0,23,22,0,24,0,0,18,24,14,10,14,11,18,9,0,0,0,0,0,0,0,0,0
13,14,12,7,6,0,0,1,0,11,4,2,9,3,5,10,16,8,17,0,0,0,0,0,0,0,21,22,0,0,21,0,18,19,0,13,12,0,19,20,0,22,0,0,16,0,15,10,15,12,17,9,0,0,0,0,0,0,0,0,0
13,16,12,6,5,0,0,1,0,10,4,2,8,3,5,9,14,7,17,0,18,0,0,14,0,0,23,23,0,0,20,0,18,19,0,13,12,0,22,21,0,23,0,0,0,0,15,8,14,11,18,8,0,0,0,0,0,0,0,0,0
0,12,11,6,5,0,0,1,0,10,4,2,8,3,4,10,14,7,10,0,16,0,0,0,0,0,19,20,0,0,18,0,15,17,0,12,11,0,19,19,0,20,0,0,15,0,14,9,13,12,16,10,0,0,0,0,0,0,0,0,0
0,12,10,6,5,0,0,1,0,8,4,2,8,3,5,9,14,7,10,0,19,0,0,0,0,0,20,0,0,0,20,0,17,18,0,13,10,0,19,19,0,21,0,18,16,21,15,9,13,12,18,11,0,0,0,0,0,0,0,0,0
0,12,11,6,5,0,0,1,0,9,4,2,8,3,4,10,15,7,10,0,17,0,0,14,0,0,20,20,0,0,19,0,16,17,0,15,10,0,18,19,0,20,0,19,0,0,15,9,14,13,19,10,0,0,0,0,0,0,0,0,0
0,10,9,6,5,0,0,1,0,8,4,2,8,3,5,8,12,7,9,0,14,0,0,12,0,0,16,16,0,0,15,0,13,14,0,11,8,0,14,15,0,16,0,15,0,0,12,8,11,9,15,8,0,0,0,0,0,0,0,0,0
11,12,0,7,5,0,0,1,0,9,4,2,9,3,6,9,14,8,11,0,19,0,0,15,0,0,0,0,0,0,18,0,16,17,0,13,9,0,20,19,0,21,0,21,16,21,13,10,14,0,17,11,15,0,0,0,0,0,0,0,0
11,12,0,6,5,0,0,1,0,9,4,2,8,3,5,8,14,7,11,0,18,0,0,15,0,0,19,20,0,0,14,0,16,17,0,13,8,0,17,18,0,19,0,18,0,0,12,10,13,0,17,10,15,0,0,0,0,0,0,0,0
10,11,0,6,5,0,0,1,0,9,3,1,8,2,4,8,13,7,10,0,16,0,0,12,0,0,21,21,0,0,14,0,16,17,0,13,9,0,19,18,0,20,0,18,0,0,12,8,12,0,17,8,15,0,0,0,0,0,0,0,0
13,14,0,7,6,8,4,2,0,10,5,1,10,3,0,10,16,9,12,0,20,0,0,0,0,0,23,24,0,0,17,19,19,20,0,16,11,0,22,22,0,24,0,21,0,0,16,11,15,0,22,12,18,0,0,0,0,0,0,0,0
14,15,0,7,6,8,4,2,0,13,5,1,12,3,0,11,17,9,14,0,22,0,0,0,0,0,0,24,22,0,18,18,19,22,0,16,10,0,23,23,0,24,0,24,21,0,16,10,15,0,22,10,20,0,0,0,0,0,0,0,0
13,14,0,7,6,8,4,2,0,12,5,1,12,3,0,11,17,9,15,0,22,0,0,19,17,0,26,0,25,0,19,0,20,23,0,18,12,0,24,24,0,27,0,25,0,23,17,10,16,0,23,11,21,0,0,0,0,0,0,0,0
