"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
10,12,9,4,4,6,0,1,0,8,5,3,0,2,6,8,14,7,19,0,0,0,0,0,0,13,0,0,0,0,18,20,0,17,15,10,13,0,0,0,0,19,0,0,0,0,0,11,12,18,16,13,0,0,0,0,0,0,0,0,0
9,12,6,4,5,0,0,1,0,8,2,3,7,0,5,9,13,8,19,0,0,0,0,0,0,0,0,0,0,0,18,16,15,20,10,11,12,0,0,0,0,19,0,0,0,0,0,11,14,11,17,12,0,0,0,0,0,0,0,0,0
11,13,11,5,4,0,0,1,0,8,3,3,7,2,3,10,14,9,19,0,0,0,0,11,0,0,0,0,0,0,18,0,16,20,15,6,17,0,0,0,0,20,0,0,0,0,0,12,14,17,11,15,0,0,0,0,0,0,0,0,0
9,13,10,5,3,0,0,1,0,8,2,2,7,2,4,11,17,7,22,0,0,0,0,16,0,0,0,0,0,0,20,0,18,21,20,6,20,0,0,0,0,23,0,0,0,0,0,12,17,19,15,14,0,0,0,0,0,0,0,0,0
11,13,9,5,4,0,0,1,0,9,2,3,8,2,6,10,14,7,18,0,0,0,0,10,0,0,0,0,0,0,17,0,16,16,15,12,15,0,0,0,0,18,0,0,0,0,0,10,13,14,16,16,0,0,0,0,0,0,0,0,0
9,17,13,4,4,0,0,1,0,10,5,2,7,3,6,11,16,8,23,0,0,0,0,0,0,0,22,0,0,0,20,0,18,21,19,12,16,0,0,0,0,24,0,0,18,0,0,14,15,18,17,14,0,0,0,0,0,0,0,0,0
11,15,12,5,4,0,0,1,0,8,4,3,7,2,5,10,14,6,22,0,0,0,0,0,0,0,22,22,0,0,21,17,19,20,14,9,13,0,0,0,0,21,0,0,0,0,0,9,9,16,13,18,0,0,0,0,0,0,0,0,0
10,12,11,6,2,0,0,1,0,9,4,3,8,2,5,11,16,7,22,0,0,0,0,24,0,0,0,24,0,0,20,0,18,21,19,9,17,0,19,0,0,24,0,0,22,0,0,14,13,23,14,15,0,0,0,0,0,0,0,0,0
12,14,13,4,5,0,0,1,0,10,6,3,8,2,7,11,16,8,23,0,0,0,0,0,0,0,0,22,0,0,21,12,19,20,17,10,9,0,24,0,0,25,0,0,16,0,0,13,15,23,17,18,0,0,0,0,0,0,0,0,0
10,12,10,5,4,0,0,1,0,9,2,5,7,3,6,8,13,6,17,0,0,0,0,19,0,0,0,18,0,0,18,0,16,15,15,11,13,0,13,0,0,18,0,0,17,0,0,11,13,18,15,14,0,0,0,0,0,0,0,0,0
10,13,11,5,3,0,0,1,0,8,6,4,9,2,7,9,17,8,20,0,0,0,0,15,0,0,22,22,0,0,19,0,18,17,16,14,10,0,19,21,0,21,0,0,0,0,0,10,15,21,14,12,0,0,0,0,0,0,0,0,0
11,14,9,7,6,0,0,1,0,8,5,3,8,2,4,10,16,5,18,0,0,0,0,17,0,0,0,0,0,0,18,0,17,20,18,12,17,0,20,18,0,19,0,0,17,19,0,13,15,19,21,11,0,0,0,0,0,0,0,0,0
13,14,13,6,5,0,0,1,0,10,4,2,8,3,2,9,12,7,16,0,0,0,0,0,0,0,16,18,0,0,17,0,16,15,0,13,11,0,14,17,0,19,0,0,11,0,14,12,13,12,20,16,0,0,0,0,0,0,0,0,0
9,11,9,4,5,0,0,1,0,8,2,2,7,2,3,8,14,6,15,0,0,0,0,9,0,0,21,21,0,0,17,0,15,18,0,9,10,0,20,19,0,21,0,0,0,0,12,9,12,13,16,9,0,0,0,0,0,0,0,0,0
11,15,10,4,3,0,0,1,0,8,2,2,9,2,3,8,12,6,20,0,0,0,0,5,0,0,0,0,0,0,20,0,19,19,0,6,18,0,19,21,0,21,0,0,12,21,17,7,13,19,16,14,0,0,0,0,0,0,0,0,0
12,14,10,4,5,0,0,1,0,8,2,3,8,2,4,8,14,6,21,0,0,0,0,0,0,0,19,21,0,0,20,0,17,17,0,7,15,0,16,22,0,21,0,0,9,0,16,11,15,18,13,12,0,0,0,0,0,0,0,0,0
11,12,9,6,4,0,0,1,0,7,4,3,8,2,2,8,11,5,18,0,17,0,0,7,0,0,20,20,0,0,16,0,15,21,0,7,13,0,15,17,0,19,0,0,0,0,14,7,10,14,12,15,0,0,0,0,0,0,0,0,0
0,14,8,5,6,0,0,1,0,10,3,3,9,2,4,12,15,7,15,0,22,0,0,0,0,0,20,22,0,0,21,0,18,21,0,7,16,0,22,23,0,23,0,0,13,0,19,11,16,20,24,17,0,0,0,0,0,0,0,0,0
0,11,12,5,3,0,0,1,0,8,4,4,9,2,5,11,15,6,16,0,20,0,0,0,0,0,21,0,0,0,20,0,18,21,0,7,12,0,18,19,0,22,0,22,16,22,13,10,13,13,14,17,0,0,0,0,0,0,0,0,0
0,14,10,6,4,0,0,1,0,8,5,3,9,2,4,10,15,7,17,0,19,0,0,11,0,0,22,24,0,0,20,0,16,18,0,12,13,0,20,21,0,23,0,25,0,0,15,8,13,8,17,14,0,0,0,0,0,0,0,0,0
0,11,10,4,3,0,0,1,0,9,2,4,7,3,6,8,13,5,14,0,16,0,0,14,0,0,19,19,0,0,19,0,16,13,0,7,12,0,19,19,0,19,0,19,0,0,15,9,13,17,18,19,0,0,0,0,0,0,0,0,0
10,13,0,4,4,0,0,1,0,7,3,2,6,2,3,8,12,5,17,0,19,0,0,10,0,0,0,0,0,0,19,0,15,17,0,10,7,0,18,20,0,21,0,21,16,19,9,7,10,0,14,11,14,0,0,0,0,0,0,0,0
11,13,0,3,2,0,0,1,0,8,4,2,7,2,5,10,17,6,16,0,21,0,0,18,0,0,23,22,0,0,13,0,17,19,0,12,15,0,23,20,0,23,0,24,0,0,11,9,14,0,14,11,11,0,0,0,0,0,0,0,0
10,12,0,5,4,0,0,1,0,7,4,3,8,2,4,10,14,6,14,0,20,0,0,14,0,0,19,17,0,0,15,0,16,16,0,9,12,0,16,18,0,18,0,21,0,0,13,9,11,0,16,12,13,0,0,0,0,0,0,0,0
12,12,0,5,3,7,4,1,0,10,6,2,8,3,0,11,13,9,15,0,20,0,0,0,0,0,18,19,0,0,13,11,16,17,0,13,13,0,19,18,0,19,0,19,0,0,15,9,13,0,14,19,13,0,0,0,0,0,0,0,0
13,16,0,6,6,7,4,1,0,10,5,2,11,3,0,11,17,8,18,0,19,0,0,0,0,0,0,21,20,0,18,19,18,21,0,15,12,0,23,22,0,22,0,21,19,0,14,9,16,0,18,17,18,0,0,0,0,0,0,0,0
14,18,0,7,5,9,4,1,0,11,6,2,10,3,0,14,17,8,20,0,23,0,0,11,15,0,25,0,22,0,19,0,20,20,0,13,14,0,27,24,0,26,0,27,0,21,14,12,16,0,20,23,21,0,0,0,0,0,0,0,0
12,15,0,7,6,8,4,1,0,12,5,2,10,3,0,13,18,9,19,0,23,0,0,0,19,0,23,0,23,0,21,0,19,22,0,14,20,0,23,23,0,23,0,22,19,23,17,11,15,0,21,18,16,0,0,0,0,0,0,0,0
12,13,0,7,5,7,4,2,0,10,6,3,9,1,0,11,14,8,16,0,22,0,0,14,18,0,23,21,15,0,13,0,17,16,0,9,11,0,24,19,0,23,0,25,0,0,14,9,14,0,20,15,14,0,0,0,0,0,0,0,0
12,14,0,6,4,7,4,1,0,11,5,2,8,3,0,9,16,5,20,0,22,0,0,0,0,0,24,23,21,0,21,0,19,21,0,9,11,0,22,22,0,23,0,25,24,21,15,10,15,0,18,17,13,0,0,0,0,0,0,0,0
12,12,0,7,6,8,4,1,0,9,5,3,9,2,0,13,14,10,16,0,20,0,0,0,0,0,21,21,21,0,18,0,19,18,0,19,17,0,20,20,0,21,0,21,20,21,16,11,15,0,21,14,20,0,0,0,0,0,0,0,0
13,14,0,6,5,7,4,1,0,11,6,3,12,2,0,9,14,8,15,0,17,0,0,10,0,0,19,19,18,0,17,0,17,17,0,12,16,0,20,19,0,19,0,19,0,17,15,11,14,0,17,16,15,0,0,0,0,0,0,0,0
14,15,0,7,5,8,4,1,0,11,6,2,10,3,0,13,17,9,21,0,25,0,0,0,20,0,24,0,26,0,23,0,19,20,0,13,21,0,22,24,0,27,0,25,14,22,19,12,16,0,18,19,18,0,0,0,0,0,0,0,0
12,14,0,6,5,7,4,1,0,11,6,3,9,2,0,9,14,8,16,0,18,0,0,21,14,0,18,21,17,0,19,0,15,16,0,12,10,0,18,19,0,20,0,20,0,0,12,9,12,0,16,13,18,0,0,0,0,0,0,0,0
13,15,0,6,5,6,4,1,0,9,5,2,8,3,0,10,15,7,18,0,24,0,0,0,14,0,23,0,20,0,19,0,16,17,0,14,9,0,21,22,0,24,0,25,17,16,15,8,12,0,22,11,22,0,0,0,0,0,0,0,0
14,15,0,7,6,8,4,1,0,10,5,2,9,3,0,11,17,8,20,0,25,0,0,13,18,0,26,24,21,0,22,0,15,22,0,16,14,0,23,26,0,25,0,20,0,0,19,12,16,0,21,15,18,0,0,0,0,0,0,0,0
12,13,0,6,5,9,4,1,0,11,8,3,10,2,0,11,18,7,21,0,28,0,0,16,0,0,25,27,26,0,23,0,21,22,0,14,16,0,20,24,0,29,0,23,0,20,19,10,15,0,17,14,22,0,0,0,0,0,0,0,0
14,16,0,7,6,7,4,1,0,10,5,3,9,2,0,12,18,8,20,0,24,0,0,15,0,0,26,25,24,0,23,0,21,22,0,15,11,0,28,26,0,27,0,27,0,19,17,13,17,0,24,20,25,0,0,0,0,0,0,0,0
9,12,0,5,4,5,3,1,0,9,5,2,7,2,0,10,13,6,15,0,23,0,0,12,12,0,21,0,20,0,17,14,16,18,0,9,11,0,22,21,0,22,0,23,0,18,12,8,12,0,17,13,19,0,0,0,0,0,0,0,0
13,14,0,7,6,8,4,1,0,11,5,3,11,2,0,12,15,9,21,0,22,0,0,14,15,0,23,23,23,0,15,23,20,19,0,11,15,0,24,23,0,23,0,23,0,0,18,10,16,0,12,11,17,0,0,0,0,0,0,0,0
13,13,0,5,4,7,4,1,0,11,6,2,11,3,0,12,15,9,18,0,23,0,0,17,19,0,26,0,25,0,27,24,22,21,0,19,8,0,26,27,0,27,0,20,0,23,16,10,14,0,24,19,20,0,0,0,0,0,0,0,0
14,14,0,6,5,7,3,1,0,11,4,2,9,2,0,8,14,7,15,0,18,0,0,14,0,0,21,21,19,0,20,14,15,19,0,14,13,0,19,21,0,21,0,21,0,17,16,10,13,0,16,12,15,0,0,0,0,0,0,0,0
11,14,0,7,5,7,4,1,0,9,6,2,9,3,0,10,15,8,16,0,19,0,0,12,16,0,20,0,21,0,16,14,16,17,0,13,11,0,17,18,0,21,0,16,0,17,14,11,14,0,22,16,16,0,0,0,0,0,0,0,0
